customer_id,full_name,email,city,country
100,Customer 100,user100@mail.com,Prizren,Kosovo
102,Customer 102,user102@mail.com,Prishtina,Kosovo
103,Customer 103,user103@mail.com,Vushtrri,North Macedonia
104,Customer 104,user104@mail.com,Vushtrri,Kosovo
111,Customer 111,user111@mail.com,Peja,North Macedonia
114,Customer 114,user114@mail.com,Peja,North Macedonia
119,Customer 119,user119@mail.com,Gjakova,Albania
125,Customer 125,user125@mail.com,Prishtina,North Macedonia
128,Customer 128,user128@mail.com,Prishtina,Kosovo
129,Customer 129,user129@mail.com,Gjilan,Kosovo
13,Customer 13,user13@mail.com,Gjilan,Albania
131,Customer 131,user131@mail.com,Gjilan,North Macedonia
137,Customer 137,user137@mail.com,Peja,Kosovo
138,Customer 138,user138@mail.com,Prishtina,North Macedonia
139,Customer 139,user139@mail.com,Ferizaj,North Macedonia
145,Customer 145,user145@mail.com,Gjakova,Albania
146,Customer 146,user146@mail.com,Ferizaj,Kosovo
152,Customer 152,user152@mail.com,Gjilan,Albania
165,Customer 165,user165@mail.com,Ferizaj,Albania
169,Customer 169,user169@mail.com,Prishtina,Kosovo
17,Customer 17,user17@mail.com,Vushtrri,North Macedonia
171,Customer 171,user171@mail.com,Prishtina,North Macedonia
179,Customer 179,user179@mail.com,Peja,Kosovo
19,Customer 19,user19@mail.com,Gjilan,Albania
193,Customer 193,user193@mail.com,Gjilan,Albania
195,Customer 195,user195@mail.com,Gjilan,Kosovo
21,Customer 21,user21@mail.com,Gjilan,North Macedonia
28,Customer 28,user28@mail.com,Gjakova,North Macedonia
30,Customer 30,user30@mail.com,Prishtina,Kosovo
34,Customer 34,user34@mail.com,Prishtina,North Macedonia
41,Customer 41,user41@mail.com,Ferizaj,North Macedonia
52,Customer 52,user52@mail.com,Mitrovica,Kosovo
7,Customer 7,user7@mail.com,Vushtrri,North Macedonia
77,Customer 77,user77@mail.com,Ferizaj,Kosovo
85,Customer 85,user85@mail.com,Mitrovica,Kosovo
91,Customer 91,user91@mail.com,Prizren,North Macedonia
92,Customer 92,user92@mail.com,Peja,Kosovo
